 CAT,  YEAR, MO, DAY, ORIG_TIME,  LAT,  LON, DEP, MAG, IEFM, DTS, DIST
 PDE,   1985,   12, 03, 160135.41,   6.83,  -73.12, 139,     ,   ,   ,   .. .       
 PDE,   1985,   12, 03, 175223.95,   6.77,  -72.94, 163, 5.10, mb, GS,   .F M       
 PDE,   1985,   12, 04, 072950.87,   6.87,  -73.05, 163,     ,   ,   ,   .. .       
 PDE,   1985,   12, 06, 084736.61,   7.35,  -73.82,  33,     ,   ,   ,   .. .       
 PDE,   1985,   12, 13, 001613.71,  10.31,  -73.43, 111, 4.20, mb, GS,   .. .       
 PDE,   1985,   12, 28, 193454.50,   6.94,  -73.14, 156,     ,   ,   ,   .. .       
 PDE,   1986,   01, 01, 214859.40,  12.66,  -61.04, 100,     ,   ,   ,   .. .       
 PDE,   1986,   01, 04, 031438.35,  11.33,  -63.70,  23, 4.30, mb, GS,   .F .       
 PDE,   1986,   01, 20, 034143.61,   6.96,  -73.06, 159,     ,   ,   ,   .. .       
 PDE,   1986,   01, 27, 204424.86,   6.96,  -73.15, 156, 4.40, mb, GS,   .. .       
 PDE,   1986,   02, 26, 114114.03,   9.65,  -61.40,  54, 4.60, Ms, GS,   .. .       
 PDE,   1986,   02, 28, 011256.65,   9.62,  -61.40,  45, 4.50, mb, GS,   .F .       
 PDE,   1986,   02, 28, 183442.82,   7.01,  -73.28, 145,     ,   ,   ,   .. .       
 PDE,   1986,   03, 25, 071033.19,  10.34,  -62.56,  10, 4.70, mb, GS,   .F .       
 PDE,   1986,   03, 31, 011923.91,   6.81,  -73.05, 159, 5.00, mb, GS,   .F .       
 PDE,   1986,   04, 07, 123552.75,  10.03,  -61.90,  33, 4.30, mb, GS,   5F .       
 PDE,   1986,   04, 11, 092541.44,   6.96,  -73.19, 153,     ,   ,   ,   .. .       
 PDE,   1986,   04, 11, 125906.90,  12.29,  -59.43,  53, 5.00, mb, GS,   .. .       
 PDE,   1986,   04, 14, 050520.58,  10.44,  -60.76,  55,     ,   ,   ,   .. .       
 PDE,   1986,   04, 15, 225705.50,  10.96,  -61.78,  47, 3.70, UK,TRN,   2F .       
 PDE,   1986,   04, 20, 070955.62,   6.36,  -72.33,  33,     ,   ,   ,   .. .       
 PDE,   1986,   04, 22, 003659.87,   7.16,  -73.46, 139,     ,   ,   ,   .. .       
 PDE,   1986,   05, 07, 163715.90,  10.30,  -62.34,  21, 4.50, mb, GS,   3F .       
 PDE,   1986,   05, 12, 215956.19,   6.90,  -73.09, 153, 5.00, mb, GS,   .. .       
 PDE,   1986,   05, 16, 001537.35,   6.65,  -72.89, 176, 4.50, mb, GS,   .. .       
 PDE,   1986,   05, 17, 223415.02,   6.84,  -73.14, 164, 4.80, mb, GS,   .. .       
 PDE,   1986,   05, 30, 142608.21,  10.53,  -62.57, 121, 4.30, mb, GS,   .. .       
 PDE,   1986,   06, 07, 163746.97,   6.84,  -72.99, 165, 4.80, mb, GS,   .F .       
 PDE,   1986,   06, 11, 134801.39,  10.60,  -62.93,  18, 6.20, Ms, GS,   7CFM       
 PDE,   1986,   06, 11, 193732.02,  10.37,  -62.98,  20, 4.60, mb, GS,   .. .       
 PDE,   1986,   06, 12, 132347.82,  10.36,  -62.95,  20, 4.50, mb, GS,   .. .       
 PDE,   1986,   06, 13, 081415.62,   8.86,  -73.42, 145,     ,   ,   ,   .. .       
 PDE,   1986,   06, 24, 064020.46,  10.14,  -72.71, 155, 4.00, mb, GS,   .. .       
 PDE,   1986,   06, 25, 061801.66,   6.78,  -72.98, 167, 4.40, mb, GS,   .. .       
 PDE,   1986,   06, 26, 231432.96,   6.88,  -73.10, 159, 4.80, mb, GS,   .. .       
